Algorithm,Iteration,Residual,PSNR,SSIM
,92,0.502,14.004,0.173
,93,0.501,13.989,0.173
,94,0.5,13.954,0.172
,95,0.498,13.903,0.17
,96,0.497,13.879,0.17
,97,0.496,13.869,0.17
,98,0.495,13.845,0.169
,99,0.493,13.79,0.168
,100,0.492,13.764,0.167
,101,0.491,13.751,0.167
,102,0.49,13.725,0.166
,103,0.488,13.666,0.165
,104,0.487,13.64,0.164
,105,0.486,13.624,0.164
,106,0.485,13.588,0.163
,107,0.482,13.532,0.162
,108,0.482,13.515,0.161
,109,0.48,13.458,0.16
,110,0.478,13.413,0.159
,111,0.477,13.388,0.158
,112,0.476,13.355,0.157
,113,0.474,13.316,0.156
,114,0.473,13.291,0.156
,115,0.47,13.215,0.154
,116,0.469,13.183,0.153
,117,0.468,13.157,0.152
,118,0.467,13.119,0.151
,119,0.465,13.081,0.151
,120,0.464,13.053,0.15
,121,0.463,13.016,0.149
,122,0.462,12.994,0.148
,123,0.462,12.989,0.148
,124,0.46,12.932,0.147
,125,0.46,12.928,0.147
,126,0.459,12.894,0.146
,127,0.459,12.884,0.145
,128,0.458,12.87,0.145
,129,0.458,12.863,0.145
,130,0.457,12.848,0.144
,131,0.457,12.825,0.144
,132,0.457,12.822,0.144
,133,0.456,12.793,0.143
,134,0.455,12.78,0.143
,135,0.455,12.776,0.142
,136,0.454,12.754,0.142
,137,0.454,12.745,0.142
,138,0.453,12.729,0.141
,139,0.453,12.714,0.141
,140,0.453,12.711,0.141
,141,0.452,12.695,0.14
,142,0.452,12.67,0.14
,143,0.451,12.666,0.14
,144,0.451,12.656,0.139
,145,0.45,12.626,0.139
,146,0.45,12.617,0.138
,147,0.45,12.611,0.138
,148,0.449,12.593,0.138
,149,0.449,12.587,0.138
,150,0.449,12.575,0.137
,151,0.448,12.556,0.137
,152,0.448,12.551,0.137
,153,0.448,12.543,0.136
,154,0.447,12.515,0.136
,155,0.446,12.508,0.136
,156,0.446,12.504,0.135
,157,0.446,12.477,0.135
,158,0.445,12.462,0.134
,159,0.445,12.458,0.134
,160,0.444,12.44,0.134
,161,0.444,12.425,0.133
,162,0.444,12.421,0.133
,163,0.443,12.402,0.133
,164,0.443,12.393,0.133
,165,0.443,12.391,0.133
,166,0.443,12.38,0.132
,167,0.442,12.371,0.132
,168,0.442,12.365,0.132
,169,0.442,12.356,0.132
,170,0.442,12.35,0.132
,171,0.442,12.341,0.131
,172,0.442,12.339,0.131
,173,0.441,12.335,0.131
,174,0.441,12.321,0.131
,175,0.441,12.32,0.131
,176,0.441,12.31,0.131
,177,0.441,12.301,0.13
,178,0.44,12.295,0.13
,179,0.44,12.291,0.13
,180,0.44,12.283,0.13
,181,0.44,12.28,0.13
,182,0.44,12.271,0.13
,183,0.44,12.269,0.13
,184,0.44,12.267,0.13
,185,0.439,12.262,0.129
,186,0.439,12.259,0.129
,187,0.439,12.257,0.129
,188,0.439,12.252,0.129
,189,0.439,12.251,0.129
,190,0.439,12.25,0.129
,191,0.439,12.249,0.129
,192,0.439,12.245,0.129
,193,0.439,12.245,0.129
,194,0.439,12.243,0.129
,195,0.439,12.241,0.129
,196,0.439,12.239,0.129
,197,0.439,12.238,0.129
,198,0.439,12.238,0.129
,199,0.439,12.233,0.129
,200,38.113,5.983,0.017
